problem_type,x,y,question,solution
lcm,804,987,What is the LCM of 804 and 987 mod 1000?,516
gcd,109,678,What is the GCD of 109 and 678?,1
multiplication,515,424,What is 515 times 424 mod 1000?,360
square_mod,364,130,What is 364^2 mod 130?,26
bitwise_and,295,173,What is 295 AND 173?,37
modulo,217,163,What is 217 mod 163?,54
lcm,524,794,What is the LCM of 524 and 794 mod 1000?,28
lcm,724,957,What is the LCM of 724 and 957 mod 1000?,868
modulo,578,488,What is 578 mod 488?,90
addition,226,939,What is 226 plus 939?,1165
square_mod,207,180,What is 207^2 mod 180?,9
bitwise_xor,977,277,What is 977 XOR 277?,708
bitwise_or,366,946,What is 366 OR 946?,1022
bitwise_or,196,629,What is 196 OR 629?,757
gcd,712,25,What is the GCD of 712 and 25?,1
square_mod,277,58,What is 277^2 mod 58?,53
multiplication,105,542,What is 105 times 542 mod 1000?,910
modulo,852,377,What is 852 mod 377?,98
bitwise_or,272,417,What is 272 OR 417?,433
multiplication,858,862,What is 858 times 862 mod 1000?,596
bitwise_and,342,418,What is 342 AND 418?,258
lcm,116,659,What is the LCM of 116 and 659 mod 1000?,444
addition,445,440,What is 445 plus 440?,885
division,658,406,What is 658 // 406?,1
square_mod,661,502,What is 661^2 mod 502?,181
multiplication,298,623,What is 298 times 623 mod 1000?,654
division,529,267,What is 529 // 267?,1
division,916,525,What is 916 // 525?,1
addition,378,501,What is 378 plus 501?,879
multiplication,877,958,What is 877 times 958 mod 1000?,166
bitwise_and,223,424,What is 223 AND 424?,136
bitwise_and,714,793,What is 714 AND 793?,520
square_mod,339,214,What is 339^2 mod 214?,3
bitwise_xor,957,963,What is 957 XOR 963?,126
gcd,25,434,What is the GCD of 25 and 434?,1
division,968,777,What is 968 // 777?,1
multiplication,219,627,What is 219 times 627 mod 1000?,313
gcd,481,460,What is the GCD of 481 and 460?,1
square_mod,504,32,What is 504^2 mod 32?,0
bitwise_xor,67,54,What is 67 XOR 54?,117
bitwise_xor,27,351,What is 27 XOR 351?,324
multiplication,846,661,What is 846 times 661 mod 1000?,206
division,730,412,What is 730 // 412?,1
modulo,736,235,What is 736 mod 235?,31
square_mod,38,12,What is 38^2 mod 12?,4
bitwise_xor,79,244,What is 79 XOR 244?,187
bitwise_xor,240,654,What is 240 XOR 654?,638
bitwise_and,724,506,What is 724 AND 506?,208
modulo,837,497,What is 837 mod 497?,340
multiplication,107,382,What is 107 times 382 mod 1000?,874
modulo,476,300,What is 476 mod 300?,176
bitwise_xor,507,935,What is 507 XOR 935?,604
modulo,666,347,What is 666 mod 347?,319
bitwise_or,526,200,What is 526 OR 200?,718
multiplication,887,315,What is 887 times 315 mod 1000?,405
bitwise_xor,630,632,What is 630 XOR 632?,14
bitwise_xor,84,273,What is 84 XOR 273?,325
division,581,72,What is 581 // 72?,8
division,755,489,What is 755 // 489?,1
division,674,629,What is 674 // 629?,1
lcm,563,467,What is the LCM of 563 and 467 mod 1000?,921
modulo,741,383,What is 741 mod 383?,358
bitwise_and,275,510,What is 275 AND 510?,274
division,493,133,What is 493 // 133?,3
bitwise_or,220,707,What is 220 OR 707?,735
multiplication,480,465,What is 480 times 465 mod 1000?,200
lcm,498,497,What is the LCM of 498 and 497 mod 1000?,506
division,552,323,What is 552 // 323?,1
division,902,200,What is 902 // 200?,4
gcd,218,956,What is the GCD of 218 and 956?,2
square_mod,606,525,What is 606^2 mod 525?,261
addition,719,863,What is 719 plus 863?,1582
square_mod,962,6,What is 962^2 mod 6?,4
gcd,889,632,What is the GCD of 889 and 632?,1
addition,174,314,What is 174 plus 314?,488
multiplication,308,176,What is 308 times 176 mod 1000?,208
bitwise_and,296,140,What is 296 AND 140?,8
lcm,692,591,What is the LCM of 692 and 591 mod 1000?,972
multiplication,554,254,What is 554 times 254 mod 1000?,716
multiplication,575,505,What is 575 times 505 mod 1000?,375
gcd,988,695,What is the GCD of 988 and 695?,1
square_mod,365,331,What is 365^2 mod 331?,163
lcm,603,568,What is the LCM of 603 and 568 mod 1000?,504
modulo,774,23,What is 774 mod 23?,15
modulo,679,274,What is 679 mod 274?,131
lcm,790,153,What is the LCM of 790 and 153 mod 1000?,870
addition,468,979,What is 468 plus 979?,1447
bitwise_xor,608,873,What is 608 XOR 873?,265
square_mod,223,27,What is 223^2 mod 27?,22
bitwise_and,313,631,What is 313 AND 631?,49
bitwise_and,973,331,What is 973 AND 331?,329
bitwise_and,755,754,What is 755 AND 754?,754
gcd,220,624,What is the GCD of 220 and 624?,4
bitwise_xor,518,259,What is 518 XOR 259?,773
multiplication,208,67,What is 208 times 67 mod 1000?,936
bitwise_and,163,661,What is 163 AND 661?,129
division,335,71,What is 335 // 71?,4
lcm,902,722,What is the LCM of 902 and 722 mod 1000?,622
bitwise_xor,578,270,What is 578 XOR 270?,844
bitwise_xor,246,94,What is 246 XOR 94?,168
gcd,868,798,What is the GCD of 868 and 798?,14
gcd,230,879,What is the GCD of 230 and 879?,1
division,798,573,What is 798 // 573?,1
modulo,546,271,What is 546 mod 271?,4
modulo,251,226,What is 251 mod 226?,25
bitwise_and,343,333,What is 343 AND 333?,325
modulo,352,287,What is 352 mod 287?,65
lcm,676,103,What is the LCM of 676 and 103 mod 1000?,628
